,Company_name,Legal Proceedings & Law Violations,Biodiversity,Communities Health and Safety,Land Acquisition and Resettlement (S),Emergencies (Social),Corporate Governance,Responsible Investment & Greenwashing,Not Relevant to ESG,Economic Crime,Emergencies (Environmental),Hazardous Materials Management,Environmental Management,Landscape Transformation,Human Rights,Climate Risks,Labor Relations Management,Freedom of Association and Right to Organise,Employee Health and Safety,Surface Water Pollution,Animal Welfare,Water Consumption,Disclosure,Product Safety and Quality,Greenhouse Gas Emissions,Indigenous People,Cultural Heritage,Air Pollution,Waste Management,Soil and Groundwater Impact,Forced Labour,Wastewater Management,Natural Resources,Physical Impacts,Values and Ethics,Risk Management and Internal Control,Supply Chain (Environmental),Supply Chain (Social),Discrimination,Minimum Age and Child Labour,Planning Limitations,Data Safety,Strategy Implementation,Energy Efficiency and Renewables,Land Acquisition and Resettlement (E),Supply Chain (Economic / Governance),Land Rehabilitation,Retrenchment,ESG rating,RAEX rank
0,ЮНИПРО инфа.docx,0.0398172661662101,0.0451263785362243,0.0144979506731033,0.0528325736522674,0.0111803030595183,0.7289207577705383,0.2732452154159546,0.4124754965305328,0.3167745471000671,0.0760894045233726,0.0419493950903415,0.5484341382980347,0.0033344435505568,0.5536869168281555,0.0020413789898157,0.0061409869231283,0.0736279413104057,0.2017150968313217,0.2422773987054824,0.0779600590467453,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0551946349442005,0.5390052199363708,0.0032398721668869,0.1780957877635955,0.0057743685320019,0.8604317307472229,0.067410297691822,0.7596046924591064,0.6447248458862305,0.0095452647656202,0.1950509548187255,0.0059354654513299,0.022414581850171,0.0660736635327339,0.535917341709137,0.0240241326391696,0.1534310728311538,0.4757664799690246,0.0268602687865495,0.0405512452125549,0.0306846145540475,0.2140299081802368,0.0385744832456111,0.0275052227079868,0.3888888888888889,56
1,Московская биржа инфа.docx,0.0332450233399868,0.042686328291893,0.0302586778998374,0.0499115027487278,0.0147039517760276,0.7755767703056335,0.3543822467327118,0.4797257483005523,0.3080205917358398,0.0851070657372474,0.0298496652394533,0.4847911596298218,0.0034568861592561,0.5486779808998108,0.0061947656795382,0.0083476351574063,0.0488452166318893,0.1749269366264343,0.2420159578323364,0.0701351314783096,0.0084480866789817,0.0252110362052917,0.1493810415267944,0.1047755405306816,0.581207811832428,0.0027951579540967,0.1530844420194625,0.0041014635935425,0.918656289577484,0.0658343881368637,0.7617921233177185,0.7388578653335571,0.0126006975769996,0.1116497218608856,0.0051906062290072,0.0240079145878553,0.0736629292368888,0.5558764338493347,0.0221709348261356,0.1242376863956451,0.4185757637023926,0.0247805695980787,0.0499062351882457,0.0577066130936145,0.2470289170742035,0.0774270668625831,0.043759848922491,0.7222222222222222,16
2,ГЛОБАЛТРАНС инфа.docx,0.0291602928191423,0.0393676869571208,0.0206957105547189,0.0489263944327831,0.0159810334444046,0.7454450726509094,0.3694957792758941,0.497545838356018,0.2748581767082214,0.0925584360957145,0.0278332605957984,0.4793645739555359,0.0019006946822628,0.4400492012500763,0.0029726629145443,0.0067954780533909,0.0495915375649929,0.2397618442773819,0.4125889241695404,0.0804829895496368,0.0096286945044994,0.0216671247035264,0.1394371688365936,0.0502288863062858,0.6167486310005188,0.0027362680993974,0.1657955646514892,0.0038284733891487,0.916622281074524,0.069816879928112,0.7892338633537292,0.6959375143051147,0.010518942028284,0.1178632676601409,0.0052891829982399,0.0210451260209083,0.0761323422193527,0.5802180171012878,0.0241932142525911,0.1077084466814994,0.3149977326393127,0.0218013972043991,0.0208343286067247,0.0231945794075727,0.2260071039199829,0.0470280610024929,0.028426693752408,0.16666666666666666,106
3,БАНК САНКТ-ПЕТЕРБУРГ инфа.docx,0.0242677237838506,0.0508590303361415,0.0177289731800556,0.0627587288618087,0.0147436158731579,0.7289207577705383,0.2762442231178283,0.4566383957862854,0.3823144137859344,0.0862157642841339,0.0427829660475254,0.5484341382980347,0.0026329646352678,0.4695127606391907,0.0018676752224564,0.0056202388368546,0.0709502026438713,0.2017150968313217,0.2617444694042206,0.0752172097563743,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0506238564848899,0.549159049987793,0.0028425690252333,0.1788476705551147,0.006281869020313,0.8604317307472229,0.0968455448746681,0.7596046924591064,0.6447248458862305,0.0114475218579173,0.2085332125425338,0.0076603665947914,0.0167162921279668,0.0505176223814487,0.535917341709137,0.0273348297923803,0.1422726809978485,0.3812219500541687,0.0293153375387191,0.0526094250380992,0.0392885357141494,0.187325045466423,0.0406874641776084,0.0412243641912937,0.05555555555555555,155
4,СПАРК_Отчет_ПАО_СУРГУТНЕФТЕГАЗ_8602060555_20240423_182315.docx,0.0248342920094728,0.0568924434483051,0.0148216048255562,0.0586936101317405,0.0140459844842553,0.7289207577705383,0.2530481219291687,0.440044641494751,0.2939513325691223,0.0995935350656509,0.05225395783782,0.5484341382980347,0.0028339440468698,0.4346296489238739,0.0020369193516671,0.006564887240529,0.0805449560284614,0.2017150968313217,0.27170130610466,0.0860512182116508,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0479979142546653,0.5529205799102783,0.0025487816892564,0.1939364224672317,0.0054314723238348,0.8793425559997559,0.1014484837651252,0.7596046924591064,0.6724487543106079,0.0143903009593486,0.202973872423172,0.0060545657761394,0.0166042391210794,0.0576347522437572,0.535917341709137,0.0241592563688755,0.1137525513768196,0.4616408050060272,0.0297066457569599,0.0510249845683574,0.0333753004670143,0.240988403558731,0.0777316913008689,0.0363441780209541,0.2777777777777778,72
5,Русал инфа.docx,0.0228549391031265,0.0260802786797285,0.0258909929543733,0.0246710106730461,0.0160479750484228,0.5732938051223755,0.3062823712825775,0.3150582611560821,0.218306764960289,0.0837679207324981,0.0147504685446619,0.4026420414447784,0.0031449939124286,0.4712603688240051,0.0023823652882128,0.004138006363064,0.0332033634185791,0.1230432167649269,0.2388292551040649,0.0323774069547653,0.0085089253261685,0.0106786396354436,0.1307484656572342,0.0479874834418296,0.301161527633667,0.0014706790680065,0.0666328743100166,0.0042785047553479,0.816669225692749,0.0342310778796672,0.6982460618019104,0.5065204501152039,0.0103449914604425,0.0728124380111694,0.0046848212368786,0.0185383558273315,0.0417469963431358,0.3024834394454956,0.0253266748040914,0.0685389414429664,0.190838411450386,0.0209206156432628,0.0228348206728696,0.0263550225645303,0.1407693177461624,0.0472833849489688,0.0316487103700637,0.6111111111111112,21
6,МЕЧЕЛ инфа.docx,0.0258451532572507,0.0454814843833446,0.0198425240814685,0.0559480786323547,0.0124206263571977,0.7289207577705383,0.2984879910945892,0.4037449061870575,0.3282894492149353,0.0707647129893302,0.0316842570900917,0.5484341382980347,0.0031951912678778,0.5852414965629578,0.0021016711834818,0.0062755406834185,0.0825515389442443,0.2017150968313217,0.2960608899593353,0.0766073539853096,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.052418902516365,0.5738051533699036,0.0030162369366735,0.1894484907388687,0.0062662996351718,0.8831486105918884,0.0817501544952392,0.7596046924591064,0.6447248458862305,0.0095270564779639,0.2189161777496338,0.0045851040631532,0.0168130546808242,0.061352964490652,0.535917341709137,0.0229713860899209,0.170890063047409,0.3683674931526184,0.0238050371408462,0.040791779756546,0.0306497290730476,0.1964512765407562,0.0374852046370506,0.0405742675065994,0.16666666666666666,119
7,СПАРК_Отчет_ПАО_ПИК_СЗ_7713011336_20240423_183226.docx,0.0294490754604339,0.0510229505598545,0.0150000294670462,0.0668746829032898,0.0136767933145165,0.7289207577705383,0.2671536803245544,0.4318118393421173,0.3595097064971924,0.0680500790476799,0.0519103854894638,0.5484341382980347,0.0016424786299467,0.5212956070899963,0.00139376509469,0.0057123224250972,0.0547682978212833,0.2017150968313217,0.2930569648742676,0.0733105689287185,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0573420263826847,0.6302207708358765,0.0030907068867236,0.1993872970342636,0.0034809603821486,0.8946315050125122,0.0987866818904876,0.7596046924591064,0.764967679977417,0.0089885927736759,0.2438884377479553,0.0045851040631532,0.0166042391210794,0.0517072714865207,0.535917341709137,0.0232586339116096,0.1082051321864128,0.4291100203990936,0.0255063008517026,0.0388680659234523,0.0246503949165344,0.2544282376766205,0.0550695434212684,0.0261176340281963,0.16666666666666666,107
8,СПАРК_Отчет_ПАО_ГМК_НОРИЛЬСКИЙ_НИКЕЛЬ_8401005730_20240423_181528.docx,0.0201834142208099,0.0330838337540626,0.0162737499922513,0.0454851314425468,0.0196900926530361,0.7289207577705383,0.2810965776443481,0.4023941457271576,0.1644385904073715,0.062373761087656,0.0221218783408403,0.5484341382980347,0.0013195171486586,0.4346296489238739,0.0023013514000922,0.0060004098340868,0.0355497598648071,0.2017150968313217,0.2937338948249817,0.0373770706355571,0.0100605906918644,0.0217230059206485,0.1272934824228286,0.0360342860221862,0.4700446724891662,0.00225027394481,0.1399052739143371,0.0039323577657341,0.8669164776802063,0.0699050277471542,0.7596046924591064,0.6447248458862305,0.0093476427718997,0.1577693372964859,0.0045851040631532,0.0166042391210794,0.0383107289671897,0.535917341709137,0.0177931115031242,0.0865946263074874,0.2449672669172287,0.0279036443680524,0.0277384240180253,0.0154860084876418,0.114981971681118,0.0269546695053577,0.0245159938931465,0.7222222222222222,6
9,СПАРК_Отчет_ПАО_ЛУКОЙЛ_7708004767_20240423_180441.docx,0.0334006994962692,0.0474690832197666,0.0155260004103183,0.0667170584201812,0.0144711397588253,0.7289207577705383,0.2443151026964187,0.403948962688446,0.3226910531520843,0.0677702575922012,0.0526983402669429,0.5484341382980347,0.0030536823906004,0.4455432891845703,0.0015367489540949,0.0054000220261514,0.0609690956771373,0.2017150968313217,0.2630339562892914,0.0733260586857795,0.0100605906918644,0.0217141974717378,0.1272934824228286,0.0491298846900463,0.5741005539894104,0.0022877205628901,0.1822322458028793,0.0038372199051082,0.881779670715332,0.0993154197931289,0.7596046924591064,0.6762888431549072,0.0105057973414659,0.2178975194692611,0.0046326857991516,0.0166042391210794,0.0515037700533866,0.535917341709137,0.0203798599541187,0.1075896322727203,0.4266387224197387,0.0269770268350839,0.0388169139623642,0.0308839809149503,0.2170019894838333,0.0574814714491367,0.0371262319386005,0.7222222222222222,11
